"Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
2022-07-06 02:00:00,"Prokupek J.","Pikous M.",3,2,6,11,7,11,11,4,11,9,11,8,1
2022-07-06 02:30:00,"Sklenar M.","Rose R.",2,3,11,8,12,10,6,11,6,11,5,11,0
2022-07-06 02:30:00,"Svedik M.","Pavelka R.",2,3,3,11,8,11,11,9,11,7,3,11,0
2022-07-06 03:00:00,"Klimenta M.","Pusch F.",1,3,11,4,8,11,6,11,5,11,NA,NA,0
2022-07-06 03:00:00,"Pikous M.","Hampejs V.",3,2,11,7,4,11,6,11,11,5,11,8,1
2022-07-06 03:30:00,"Hofman D.","Rose R.",2,3,10,12,11,8,11,9,7,11,11,13,0
2022-07-06 03:30:00,"Prokupek J.","Pavelka R.",2,3,11,9,8,11,11,5,8,11,6,11,0
2022-07-06 04:00:00,"Hampejs V.","Svedik M.",0,3,9,11,5,11,7,11,NA,NA,NA,NA,0
2022-07-06 04:05:00,"Pusch F.","Sklenar M.",3,2,11,9,5,11,11,6,6,11,11,9,1
2022-07-06 04:30:00,"Pavelka R.","Pikous M.",2,3,14,12,12,14,11,5,10,12,11,13,0
2022-07-06 04:30:00,"Rose R.","Klimenta M.",3,2,14,16,2,11,11,9,11,4,11,8,1
2022-07-06 05:05:00,"Pusch F.","Hofman D.",3,0,11,4,11,5,11,5,NA,NA,NA,NA,1
2022-07-06 05:10:00,"Hampejs V.","Prokupek J.",3,0,11,7,11,8,11,8,NA,NA,NA,NA,1
2022-07-06 05:30:00,"Klimenta M.","Sklenar M.",2,3,7,11,11,9,9,11,13,11,7,11,0
2022-07-06 05:30:00,"Pikous M.","Svedik M.",3,0,11,5,11,8,13,11,NA,NA,NA,NA,1
2022-07-06 06:00:00,"Hampejs V.","Prokupek J.",3,0,11,6,11,3,11,5,NA,NA,NA,NA,1
2022-07-06 06:00:00,"Sklenar M.","Klimenta M.",3,1,11,6,9,11,12,10,11,9,NA,NA,1
2022-07-06 06:30:00,"Pikous M.","Pavelka R.",3,2,11,5,11,13,11,9,10,12,11,9,1
2022-07-06 06:30:00,"Rose R.","Pusch F.",0,3,11,13,10,12,0,11,NA,NA,NA,NA,0
2022-07-06 09:00:00,"Skacelik R.","Bajtek P.",2,3,11,7,11,8,6,11,6,11,6,11,0
2022-07-06 09:00:00,"Smrcek M.","Tonar L.",0,3,8,11,6,11,7,11,NA,NA,NA,NA,0
2022-07-06 09:00:00,"Sudek P.","Moravek J.",3,0,11,4,11,6,11,5,NA,NA,NA,NA,1
2022-07-06 09:00:00,"Svoboda V.","Cernik J.",1,3,9,11,12,10,3,11,5,11,NA,NA,0
2022-07-06 09:30:00,"Babicka L.","Grill J.",3,2,7,11,11,9,11,8,7,11,11,5,1
2022-07-06 09:30:00,"Cvecek M.","Sejk P.",0,3,7,11,6,11,8,11,NA,NA,NA,NA,0
2022-07-06 09:30:00,"Navrat L.","Ogrocki T.",1,3,11,5,11,13,7,11,5,11,NA,NA,0
2022-07-06 09:30:00,"Stolfa J.","Kasinski Z.",3,0,11,6,11,7,11,7,NA,NA,NA,NA,1
2022-07-06 10:00:00,"Bajtek P.","Navrat L.",1,3,11,9,12,14,6,11,9,11,NA,NA,0
2022-07-06 10:00:00,"Cernik J.","Cvecek M.",3,1,12,14,11,8,11,4,11,6,NA,NA,1
2022-07-06 10:00:00,"Moravek J.","Stolfa J.",0,3,4,11,8,11,5,11,NA,NA,NA,NA,0
2022-07-06 10:00:00,"Tonar L.","Babicka L.",1,3,11,9,8,11,6,11,8,11,NA,NA,0
2022-07-06 10:30:00,"Grill J.","Smrcek M.",1,3,11,5,11,13,4,11,9,11,NA,NA,0
2022-07-06 10:30:00,"Kasinski Z.","Sudek P.",3,0,11,8,11,4,11,3,NA,NA,NA,NA,1
2022-07-06 10:30:00,"Ogrocki T.","Skacelik R.",2,3,9,11,11,9,10,12,13,11,10,12,0
2022-07-06 10:30:00,"Sejk P.","Svoboda V.",1,3,9,11,11,9,7,11,9,11,NA,NA,0
2022-07-06 11:00:00,"Skacelik R.","Navrat L.",1,3,2,11,5,11,11,5,10,12,NA,NA,0
2022-07-06 11:00:00,"Smrcek M.","Babicka L.",3,2,9,11,7,11,11,6,16,14,11,9,1
2022-07-06 11:00:00,"Sudek P.","Stolfa J.",1,3,13,11,4,11,5,11,9,11,NA,NA,0
2022-07-06 11:00:00,"Svoboda V.","Cvecek M.",0,3,9,11,4,11,10,12,NA,NA,NA,NA,0
2022-07-06 11:30:00,"Bajtek P.","Ogrocki T.",0,3,3,11,7,11,5,11,NA,NA,NA,NA,0
2022-07-06 11:30:00,"Cernik J.","Sejk P.",1,3,11,8,7,11,2,11,6,11,NA,NA,0
2022-07-06 11:30:00,"Moravek J.","Kasinski Z.",3,1,13,11,11,8,5,11,11,8,NA,NA,1
2022-07-06 11:30:00,"Tonar L.","Grill J.",0,3,6,11,6,11,4,11,NA,NA,NA,NA,0
2022-07-06 12:00:00,"Cvecek M.","Svoboda V.",3,0,11,6,11,8,18,16,NA,NA,NA,NA,1
2022-07-06 12:00:00,"Grill J.","Tonar L.",3,0,11,8,11,8,11,3,NA,NA,NA,NA,1
2022-07-06 12:00:00,"Skacelik R.","Bajtek P.",3,0,11,9,11,5,14,12,NA,NA,NA,NA,1
2022-07-06 12:00:00,"Sudek P.","Moravek J.",1,3,4,11,9,11,11,7,11,13,NA,NA,0
2022-07-06 12:30:00,"Babicka L.","Smrcek M.",2,3,11,7,11,4,8,11,8,11,7,11,0
2022-07-06 12:30:00,"Ogrocki T.","Navrat L.",3,1,14,12,9,11,11,5,11,8,NA,NA,1
2022-07-06 12:30:00,"Sejk P.","Cernik J.",1,3,9,11,8,11,11,9,7,11,NA,NA,0
2022-07-06 12:30:00,"Stolfa J.","Kasinski Z.",3,1,4,11,11,6,11,8,11,6,NA,NA,1
2022-07-06 13:00:00,"Bilek Z.","Mares E.",3,2,10,12,11,2,12,10,9,11,11,2,1
2022-07-06 13:00:00,"Kantor L.","Nikl Z.",3,2,8,11,11,9,11,5,4,11,11,5,1
2022-07-06 13:00:00,"Kotil M.","Stanek V.",3,2,11,5,11,8,7,11,10,12,11,6,1
2022-07-06 13:00:00,"Machart J.","Strnad J.",2,3,11,3,8,11,7,11,16,14,4,11,0
2022-07-06 13:30:00,"Bradac P.","Jindrak L.",3,1,14,12,11,8,3,11,11,2,NA,NA,1
2022-07-06 13:30:00,"Nejedly M.","Jarolim J.",3,0,11,6,11,7,17,15,NA,NA,NA,NA,1
2022-07-06 13:30:00,"Sulava L.","Kasan J.",3,2,6,11,11,8,5,11,11,9,11,8,1
2022-07-06 13:30:00,"Velky Jr. D.","Stach J.",3,1,11,7,11,8,11,13,11,4,NA,NA,1
2022-07-06 14:00:00,"Mares E.","Bradac P.",3,1,6,11,11,7,11,7,11,2,NA,NA,1
2022-07-06 14:00:00,"Nikl Z.","Velky Jr. D.",1,3,10,12,4,11,11,8,10,12,NA,NA,0
2022-07-06 14:00:00,"Stanek V.","Nejedly M.",3,1,11,8,11,8,9,11,12,10,NA,NA,1
2022-07-06 14:00:00,"Strnad J.","Sulava L.",0,3,8,11,5,11,7,11,NA,NA,NA,NA,0
2022-07-06 14:30:00,"Jarolim J.","Kotil M.",2,3,9,11,11,6,11,4,11,13,6,11,0
2022-07-06 14:30:00,"Jindrak L.","Bilek Z.",3,0,11,9,11,8,11,9,NA,NA,NA,NA,1
